"DateOfArrivalAtBIP","BorderInspectionPost","EntryBIPCountry","ConsigneeCountry","ImporterCountry","CountryofOrigin","CommodityGroup","CommodityCode","Species","Temperature","TranshipmentBIPCountry","TranshipmentBIP","TranshipmentTo3rdCountry","To3rdCountry","TransitExitBIP","ForReImport","ForInternalMarket","DateofDeclaration","YearofDeclaration","QuarterofDeclaration","MonthofDeclaration","DayofDeclaration","DocumentaryCheck","IdentityCheck","TotalGrossWeightKg","PhysicalCheck","LaboratoryTestsPerformed","LaboratoryTestsMotivation","LaboratoryTestConclusion","LaboratoryTestTranslation","AcceptableforInternal Market","Notacceptable","RefusalReasonCodeList","DateofDecision","YearofDecision","QuarterofDecision","MonthofDecision","DayofDecision","TotalNetWeightkg"
"13/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02044250","Ovis Aries","Frozen","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","15123","Not Done","No","-","-","-","Human Consumption","-","-","18/03/2019","2019","Q1","March","18","14659"
"13/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02044250","Ovis Aries","Frozen","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","15632","Not Done","No","-","-","-","Human Consumption","-","-","19/03/2019","2019","Q1","March","19","15164"
"13/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep or goats meat and sheep or goats meat products","02069099","Ovis Aries","Frozen","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","18620","Not Done","No","-","-","-","Human Consumption","-","-","18/03/2019","2019","Q1","March","18","18197"
"13/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02042230","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","0","Not Done","No","-","-","-","Human Consumption","-","-","16/03/2019","2019","Q1","March","16","0"
"13/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02042250","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","0","Not Done","No","-","-","-","Human Consumption","-","-","16/03/2019","2019","Q1","March","16","0"
"13/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02042300","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","23865","Not Done","No","-","-","-","Human Consumption","-","-","16/03/2019","2019","Q1","March","16","22256"
"13/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02042250","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","11771","Not Done","No","-","-","-","Human Consumption","-","-","18/03/2019","2019","Q1","March","18","10991"
"13/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02042230","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","0","Not Done","No","-","-","-","Human Consumption","-","-","16/03/2019","2019","Q1","March","16","0"
"13/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02042250","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","24443","Not Done","No","-","-","-","Human Consumption","-","-","16/03/2019","2019","Q1","March","16","22814"
"13/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","New Zealand","Sheep meat","02042300","Ovis Aries","Chilled","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","0","Not Done","No","-","-","-","Human Consumption","-","-","16/03/2019","2019","Q1","March","16","0"
