DateOfArrivalAtBIP,BorderInspectionPost,EntryBIPCountry,ConsigneeCountry,ImporterCountry,CountryofOrigin,CommodityGroup,CommodityCode,Species,Temperature,TranshipmentBIPCountry,TranshipmentBIP,TranshipmentTo3rdCountry,To3rdCountry,TransitExitBIP,ForReImport,ForInternalMarket,DateofDeclaration,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DocumentaryCheck,IdentityCheck,TotalGrossWeightKg,PhysicalCheck,LaboratoryTestsPerformed,LaboratoryTestsMotivation,LaboratoryTestConclusion,LaboratoryTestTranslation,AcceptableforInternal Market,Notacceptable,RefusalReasonCodeList,DateofDecision,YearofDecision,QuarterofDecision,MonthofDecision,DayofDecision,TotalNetWeightkg
2020-08-10,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038990,Parastromateus Niger,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-05,2020,Q3,8,5,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-08-11,2020,Q3,August,11,0
2020-08-10,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3061799,Macrobrachium Rosenbergii,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-05,2020,Q3,8,5,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-08-11,2020,Q3,August,11,0
2020-08-10,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3061799,Penaeoidea,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-05,2020,Q3,8,5,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-08-11,2020,Q3,August,11,0
2020-08-31,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3032500,Catla Catla,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-26,2020,Q3,8,26,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-09-07,2020,Q3,September,7,0
2020-08-31,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3032500,Labeo Calbasu,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-26,2020,Q3,8,26,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-09-07,2020,Q3,September,7,0
2020-08-31,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3032500,Labeo Rohita,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-26,2020,Q3,8,26,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-09-07,2020,Q3,September,7,0
2020-08-31,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3032900,Channa Striata,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-26,2020,Q3,8,26,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-09-07,2020,Q3,September,7,0
2020-08-31,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3035990,Pampus Argenteus,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-26,2020,Q3,8,26,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-09-07,2020,Q3,September,7,0
2020-08-31,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038910,Chitala Chitala,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-26,2020,Q3,8,26,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-09-07,2020,Q3,September,7,0
2020-08-31,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038910,Eutropiichthys Vacha,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-26,2020,Q3,8,26,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-09-07,2020,Q3,September,7,0
2020-08-31,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038910,Macrognathus Aculeatus,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-26,2020,Q3,8,26,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-09-07,2020,Q3,September,7,0
2020-08-31,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038910,Mastacembelus Armatus,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-26,2020,Q3,8,26,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-09-07,2020,Q3,September,7,0
2020-08-31,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038910,Mystus Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-26,2020,Q3,8,26,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-09-07,2020,Q3,September,7,0
2020-08-31,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038910,Ompok Pabda,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-26,2020,Q3,8,26,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-09-07,2020,Q3,September,7,0
2020-08-31,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Fishery products,3038910,Otra Pesca,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-26,2020,Q3,8,26,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-09-07,2020,Q3,September,7,0
